link,brand,name,category,weight_value,weight_unit,current_price,original_price
/p/lezecky-la-sportiva-skwama/#43-5-cerna-zluta,La Sportiva,Skwama,Lezečky,,,3389.0,3899.0
/p/lezecky-la-sportiva-tc-pro-2024/#40-5-zelena,La Sportiva,TC Pro 2024,Lezečky,550.0,g,3859.0,4299.0
/p/damske-lezecky-la-sportiva-theory-women-2023/#39-cerna-cervena,La Sportiva,Theory Women 2023,Dámské lezečky,360.0,g,3639.0,3999.0
/p/lezecky-unparallel-leopard-ii/#37-cerna-cervena,UNPARALLEL,Leopard II,Lezečky,374.0,g,2350.0,3990.0
/p/lezecky-la-sportiva-katana-laces/#38-5-zluta-cerna,La Sportiva,Katana Laces,Lezečky,,,3619.0,4199.0
/p/damske-lezecky-la-sportiva-theory-women/#37-cerna-cervena,La Sportiva,Theory Women,Dámské lezečky,360.0,g,3479.0,3999.0
/p/panske-lezecky-evolv-geshido/#38-modra,Evolv,Geshido,Lezečky,,,2946.0,3273.0
/p/lezecky-eb-climbing-nebula-s/#33-5-modra-cervena,EB Climbing,Nebula S,Lezečky,,,2199.0,2799.0
/p/damske-lezecky-la-sportiva-katana-laces-woman/#36-bila-cerna,La Sportiva,Katana Laces Woman,Dámské lezečky,430.0,g,3879.0,4299.0
/p/lezecky-evolv-defy-lv/#37-seda-bila,Evolv,Defy LV,Lezečky,430.0,g,2376.0,2640.0
/p/lezecky-red-chili-voltage-lace/#42-5-zelena-oranzova,Red Chili,Voltage Lace,Lezečky,520.0,g,3113.0,3459.0
/p/damske-lezecky-evolv-shakra/#35-5-zluta,Evolv,Shakra,Dámské lezečky,,,2946.0,3273.0
/p/lezecky-evolv-shaman-pro/#40-cerna-bila,Evolv,Shaman Pro,Lezečky,580.0,g,4050.0,4500.0
/p/detske-lezecky-ocun-ribbit/#26-27-modra-cerna,Ocún,Ribbit,Dětské lezečky,340.0,g,1169.0,1390.0
/p/damske-lezecky-la-sportiva-tarantula-woman/#40-5-vinova,La Sportiva,Tarantula Woman,Dámské lezečky,470.0,g,2089.0,2399.0
/p/detske-lezecky-ocun-ribbit/#24-25-ruzova,Ocún,Ribbit,Dětské lezečky,340.0,g,1169.0,1390.0
/p/lezecky-la-sportiva-tarantula/#34-5-seda-zelena,La Sportiva,Tarantula,Lezečky,490.0,g,2149.0,2299.0
/p/detske-lezecky-ocun-ribbit/#24-25-modra,Ocún,Ribbit,Dětské lezečky,340.0,g,1159.0,1390.0
